Campaign,Keyword (Bokmål),English gloss,Match type
CAMP-1 Problem-Aware,hund dårlig ånde,bad breath dog,phrase
CAMP-1 Problem-Aware,hunden min har dårlig ånde,my dog has bad breath,phrase
CAMP-1 Problem-Aware,vond ånde hund,bad breath dog alt,phrase
CAMP-1 Problem-Aware,hund stinker fra munnen,dog smells from mouth,phrase
CAMP-1 Problem-Aware,dårlig ånde hos hund,bad breath in dogs,phrase
CAMP-1 Problem-Aware,hvorfor lukter hunden vondt fra munnen,why does dog smell bad from mouth,phrase
CAMP-1 Problem-Aware,hva hjelper mot dårlig ånde hund,what helps against dog bad breath,phrase
CAMP-1 Problem-Aware,tannstein hund,tartar dog,phrase
CAMP-1 Problem-Aware,tannstein hos hund,tartar in dog,phrase
CAMP-1 Problem-Aware,fjerne tannstein hund,remove tartar dog,phrase
CAMP-1 Problem-Aware,tannstein hund hjemme,tartar dog at home,phrase
CAMP-1 Problem-Aware,hund gule tenner,dog yellow teeth,phrase
CAMP-1 Problem-Aware,betennelse i tannkjøtt hund,gum inflammation dog,phrase
CAMP-1 Problem-Aware,rødt tannkjøtt hund,red gums dog,phrase
CAMP-1 Problem-Aware,hund blør fra munnen,dog bleeding from mouth,phrase
CAMP-2 Solution-Aware,tannpulver hund,tooth powder dog,phrase
CAMP-2 Solution-Aware,tannpulver for hunder,tooth powder for dogs,phrase
CAMP-2 Solution-Aware,pulver til tenner hund,powder for teeth dog,phrase
CAMP-2 Solution-Aware,dental pulver hund,dental powder dog,phrase
CAMP-2 Solution-Aware,beste tannpulver hund,best tooth powder dog,phrase
CAMP-2 Solution-Aware,tannkrem hund,toothpaste dog,phrase
CAMP-2 Solution-Aware,tannkrem til hund,toothpaste for dog,phrase
CAMP-2 Solution-Aware,tannbørste hund,toothbrush dog,phrase
CAMP-2 Solution-Aware,tannpleie hund,dental care dog,phrase
CAMP-2 Solution-Aware,tannrens hund,teeth cleaning dog,phrase
CAMP-2 Solution-Aware,munnpleie hund,mouth care dog,phrase
CAMP-2 Solution-Aware,pusse tenner hund,brush teeth dog,phrase
CAMP-2 Solution-Aware,anti plakk hund,anti plaque dog,phrase
CAMP-2 Solution-Aware,plakk på tenner hund,plaque on teeth dog,phrase
CAMP-2 Solution-Aware,kosttilskudd tenner hund,supplement teeth dog,phrase
CAMP-2 Solution-Aware,naturlig tannpleie hund,natural dental care dog,phrase
CAMP-3 DSA Discovery,DSA: homepage + dental category,Dynamic Search Ads,auto
CAMP-3 DSA Discovery,DSA: Dental Bright PDP,Dynamic Search Ads,auto
